CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,N/A,N/A,N/A,N/A,N/A,N/A
A#,9(#5),1;3;#5;b7;9,A#,C##,E##,G#,B#,N/A,N/A
A#,13,1;3;5;b7;9;11;13,A#,C##,E#,G#,B#,D#,F##
A#,6(#11),1;3;5;6;#11,A#,C##,E#,F##,D##,N/A,N/A
A#,7(#9),1;3;5;b7;#9,A#,C##,E#,G#,B##,N/A,N/A
A#,+(#11),1;3;#5;#11,A#,C##,E##,D##,N/A,N/A,N/A
A#,9,1;3;5;b7;9,A#,C##,E#,G#,B#,N/A,N/A
A#,9b5,1;3;b5;b7;9,A#,C##,E,G#,B#,N/A,N/A
A#,maj13,1;3;5;7;9;11;13,A#,C##,E#,G##,B#,D#,F##
A#,7,1;3;5;b7,A#,C##,E#,G#,N/A,N/A,N/A
A#,dim7,1;b3;b5;bb7,A#,C#,E,G,N/A,N/A,N/A
A#,aug,1;3;#5,A#,C##,E##,N/A,N/A,N/A,N/A
A#,m(maj9),1;b3;5;7;9,A#,C#,E#,G##,B#,N/A,N/A
A#,maj,1;3;5,A#,C##,E#,N/A,N/A,N/A,N/A
A#,13(#11),1;3;5;b7;9;#11;13,A#,C##,E#,G#,B#,D##,F##
A#,11,1;3;5;b7;9;11,A#,C##,E#,G#,B#,D#,N/A
A#,maj9,1;3;5;7;9,A#,C##,E#,G##,B#,N/A,N/A
A#,sus2,1;2;5,A#,B#,E#,N/A,N/A,N/A,N/A
A#,7(b13),1;3;5;b7;b13,A#,C##,E#,G#,F#,N/A,N/A
A#,maj7(#5),1;3;#5;7,A#,C##,E##,G##,N/A,N/A,N/A
A#,m11,1;b3;5;b7;9;11,A#,C#,E#,G#,B#,D#,N/A
A#,add9,1;3;5;9,A#,C##,E#,B#,N/A,N/A,N/A
A#,m7b5,1;b3;b5;b7,A#,C#,E,G#,N/A,N/A,N/A
A#,m13,1;b3;5;b7;9;11;13,A#,C#,E#,G#,B#,D#,F##
A#,m,1;b3;5,A#,C#,E#,N/A,N/A,N/A,N/A
A#,7b5,1;3;b5;b7,A#,C##,E,G#,N/A,N/A,N/A
A#,9(#11),1;3;5;b7;9;#11,A#,C##,E#,G#,B#,D##,N/A
A#,m7,1;b3;5;b7,A#,C#,E#,G#,N/A,N/A,N/A
A#,m(maj7),1;b3;5;7,A#,C#,E#,G##,N/A,N/A,N/A
A#,dim,1;b3;b5,A#,C#,E,N/A,N/A,N/A,N/A
A#,6,1;3;5;6,A#,C##,E#,F##,N/A,N/A,N/A
A#,7(#5),1;3;#5;b7,A#,C##,E##,G#,N/A,N/A,N/A
A#,7sus4,1;4;5;b7,A#,D#,E#,G#,N/A,N/A,N/A
A#,maj7,1;3;5;7,A#,C##,E#,G##,N/A,N/A,N/A
A#,5,1;5,A#,E#,N/A,N/A,N/A,N/A,N/A
A#,7(#11),1;3;5;b7;#11,A#,C##,E#,G#,D##,N/A,N/A
A#,13(#9),1;3;5;b7;#9;11;13,A#,C##,E#,G#,B##,D#,F##
A#,m6,1;b3;5;6,A#,C#,E#,F##,N/A,N/A,N/A
A#,13(#5),1;3;#5;b7;9;11;13,A#,C##,E##,G#,B#,D#,F##
A#,m6/9,1;b3;5;6;9,A#,C#,E#,F##,B#,N/A,N/A
A#,7(b9),1;3;5;b7;b9,A#,C##,E#,G#,B,N/A,N/A
A#,m9,1;b3;5;b7;9,A#,C#,E#,G#,B#,N/A,N/A
A#,13(b9),1;3;5;b7;b9;11;13,A#,C##,E#,G#,B,D#,F##
A#,sus4,1;4;5,A#,D#,E#,N/A,N/A,N/A,N/A
A#,6/9,1;3;5;6;9,A#,C##,E#,F##,B#,N/A,N/A
B#,9(#5),1;3;#5;b7;9,B#,D##,F###,A#,C##,N/A,N/A
B#,13,1;3;5;b7;9;11;13,B#,D##,F##,A#,C##,E#,G##
B#,6(#11),1;3;5;6;#11,B#,D##,F##,G##,E##,N/A,N/A
B#,7(#9),1;3;5;b7;#9,B#,D##,F##,A#,C###,N/A,N/A
B#,+(#11),1;3;#5;#11,B#,D##,F###,E##,N/A,N/A,N/A
B#,9,1;3;5;b7;9,B#,D##,F##,A#,C##,N/A,N/A
B#,9b5,1;3;b5;b7;9,B#,D##,F#,A#,C##,N/A,N/A
B#,maj13,1;3;5;7;9;11;13,B#,D##,F##,A##,C##,E#,G##
B#,7,1;3;5;b7,B#,D##,F##,A#,N/A,N/A,N/A
B#,dim7,1;b3;b5;bb7,B#,D#,F#,A,N/A,N/A,N/A
B#,aug,1;3;#5,B#,D##,F###,N/A,N/A,N/A,N/A
B#,m(maj9),1;b3;5;7;9,B#,D#,F##,A##,C##,N/A,N/A
B#,maj,1;3;5,B#,D##,F##,N/A,N/A,N/A,N/A
B#,13(#11),1;3;5;b7;9;#11;13,B#,D##,F##,A#,C##,E##,G##
B#,11,1;3;5;b7;9;11,B#,D##,F##,A#,C##,E#,N/A
B#,maj9,1;3;5;7;9,B#,D##,F##,A##,C##,N/A,N/A
B#,sus2,1;2;5,B#,C##,F##,N/A,N/A,N/A,N/A
B#,7(b13),1;3;5;b7;b13,B#,D##,F##,A#,G#,N/A,N/A
B#,maj7(#5),1;3;#5;7,B#,D##,F###,A##,N/A,N/A,N/A
B#,m11,1;b3;5;b7;9;11,B#,D#,F##,A#,C##,E#,N/A
B#,add9,1;3;5;9,B#,D##,F##,C##,N/A,N/A,N/A
B#,m7b5,1;b3;b5;b7,B#,D#,F#,A#,N/A,N/A,N/A
B#,m13,1;b3;5;b7;9;11;13,B#,D#,F##,A#,C##,E#,G##
B#,m,1;b3;5,B#,D#,F##,N/A,N/A,N/A,N/A
B#,7b5,1;3;b5;b7,B#,D##,F#,A#,N/A,N/A,N/A
