ChromaticTriMirror,0,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DoReMi,0,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flat6and7,0,10,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MajorFlat6,0,4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MajorTriad1,0,3,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MajorTriad2,0,4,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MajorTriad3,0,5,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Messiaen3rdMode,0,4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MinorTriad1,0,4,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MinorTriad2,0,3,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MinorTriad3,0,5,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MinorTriChord,0,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PhrygianTriChord,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sanagari1,0,5,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sharp6and7,0,10,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UteTritone1,0,3,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AlternatingTetraMirror1,0,1,3,4,N/A,N/A,N/A,N/A,N/A,N/A
ChromaticTetraMirror1,0,1,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Diminished7thChord,0,3,6,9,N/A,N/A,N/A,N/A,N/A,N/A
DorianTetraChord,0,2,3,5,N/A,N/A,N/A,N/A,N/A,N/A
EskimoTetratonic,0,2,4,7,N/A,N/A,N/A,N/A,N/A,N/A
GenusPrimumInverse,0,5,7,10,N/A,N/A,N/A,N/A,N/A,N/A
HarMinorTetraChord1,0,2,3,6,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord1,0,4,7,10,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord2,0,4,7,11,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord2,0,3,8,10,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord3,0,2,5,10,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord4,0,5,7,9,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord5,0,4,7,10,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord6,0,2,6,9,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord7,0,3,5,9,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord8,0,5,7,10,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord9,0,3,6,8,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord10,0,2,5,7,N/A,N/A,N/A,N/A,N/A,N/A
MajorTetraChord11,0,2,4,5,N/A,N/A,N/A,N/A,N/A,N/A
SixthTetraChord1,0,4,7,9,N/A,N/A,N/A,N/A,N/A,N/A
SixthTetraChord2,0,2,5,9,N/A,N/A,N/A,N/A,N/A,N/A
SixthTetraChord3,0,3,6,9,N/A,N/A,N/A,N/A,N/A,N/A
MinorSeventhChord,0,3,7,10,N/A,N/A,N/A,N/A,N/A,N/A
PhrygianTetraChord,0,1,3,5,N/A,N/A,N/A,N/A,N/A,N/A
WaraoMinorTriChord,0,2,3,10,N/A,N/A,N/A,N/A,N/A,N/A
Whole-ToneTetramirror,0,2,4,6,N/A,N/A,N/A,N/A,N/A,N/A
Sus4Pentatonic,0,2,5,7,10,N/A,N/A,N/A,N/A,N/A
M3MjPentatonic,0,3,5,8,10,N/A,N/A,N/A,N/A,N/A
Chinese6Pentatonic,0,4,6,7,11,N/A,N/A,N/A,N/A,N/A
Han-kumoi,0,2,5,7,8,N/A,N/A,N/A,N/A,N/A
In,0,1,5,7,8,N/A,N/A,N/A,N/A,N/A
Yo,0,2,5,7,9,N/A,N/A,N/A,N/A,N/A
Indonesian2Pentatonic,0,1,6,7,8,N/A,N/A,N/A,N/A,N/A
Indonesian3Pentatonic,0,4,5,7,11,N/A,N/A,N/A,N/A,N/A
NoName,0,1,4,7,9,N/A,N/A,N/A,N/A,N/A
AlteredPentatonic,0,1,5,7,9,N/A,N/A,N/A,N/A,N/A
BalinesePentachord1,0,1,4,6,7,N/A,N/A,N/A,N/A,N/A
Blues#V,0,3,5,6,11,N/A,N/A,N/A,N/A,N/A
BluesPentacluster1,0,1,2,3,6,N/A,N/A,N/A,N/A,N/A
BluesPentaCluster3,0,1,2,3,5,N/A,N/A,N/A,N/A,N/A
BluesPentaCluster5,0,1,2,3,N/A,N/A,N/A,N/A,N/A,N/A
BluesPentaCluster6,0,1,2,3,5,N/A,N/A,N/A,N/A,N/A
Blues#Vallflats,0,3,5,6,11,N/A,N/A,N/A,N/A,N/A
Center-ClusterPentaMirror,0,3,4,5,8,N/A,N/A,N/A,N/A,N/A
Chaio1,0,2,5,8,10,N/A,N/A,N/A,N/A,N/A
ChromaticPentaMirror,0,1,2,3,4,N/A,N/A,N/A,N/A,N/A
DominantPentatonic,0,2,4,7,10,N/A,N/A,N/A,N/A,N/A
Slendro,0,2,5,7,9,N/A,N/A,N/A,N/A,N/A
HalfDiminishedplusb8,0,3,6,10,11,N/A,N/A,N/A,N/A,N/A
JapanesePentachord1,0,1,3,6,7,N/A,N/A,N/A,N/A,N/A
Kokin-Joshi,0,1,5,7,10,N/A,N/A,N/A,N/A,N/A
Kung,0,2,4,6,9,N/A,N/A,N/A,N/A,N/A
LocrianPentaMirror,0,1,3,5,6,N/A,N/A,N/A,N/A,N/A
LydianPentachord,0,2,4,6,7,N/A,N/A,N/A,N/A,N/A
MajorPentachord,0,2,4,5,7,N/A,N/A,N/A,N/A,N/A
Minor6thAdded,0,3,5,7,9,N/A,N/A,N/A,N/A,N/A
MinorPentachordChadG,0,2,3,5,7,N/A,N/A,N/A,N/A,N/A
MixolydianPentatonic1,0,4,5,7,10,N/A,N/A,N/A,N/A,N/A
OrientalPentacluster1,0,1,2,5,6,N/A,N/A,N/A,N/A,N/A
OrientalRagaGuhamano,0,2,5,9,10,N/A,N/A,N/A,N/A,N/A
RomanianBacovia1,0,4,5,8,11,N/A,N/A,N/A,N/A,N/A
